RA (J2000),Dec (J2000),G_mean_magnitude
284.94479,47.279362,13.390228
283.42743,47.483471,12.009615
283.70416,47.489422,15.690835
296.42432,47.811451,13.40243
296.43219,47.81216,12.486488
288.53647,47.986877,13.474186
292.09033,48.026402,12.671322
293.4791,48.137421,10.534548
291.59116,48.249348,14.54806
283.62885,48.391003,13.071632
287.07867,48.392555,13.780648
282.24765,48.450161,13.169234
285.87357,48.547874,11.837552
291.06372,48.846489,11.95082
290.18259,48.945171,12.052331
290.19211,48.948921,14.007857
290.18423,49.077484,14.384727
285.07797,49.486271,13.246727
289.73761,49.858589,11.818847
290.6759,50.199661,10.731223
294.91269,50.522495,16.551054
289.44397,50.929089,11.779665
289.83871,51.512127,11.327512
289.82074,51.965393,15.817673
291.85959,37.177158,13.711763
291.85959,37.896381,13.998529
285.77542,37.922798,13.306207
285.77667,37.923931,13.686242
286.24768,39.268269,13.270499
287.3223,39.281479,13.721465
287.40701,39.390556,14.499949
295.98975,39.76363,11.341083
286.6022,39.88271,14.025555
294.99527,39.848061,12.159448
284.54297,39.987968,17.183928
293.56604,39.956566,11.90093
284.86615,40.025002,13.978767
298.6926,40.165234,13.732447
283.19388,40.495621,14.405643
285.19778,40.4244,15.948272
284.36951,40.593552,14.867723
287.92551,40.644859,11.183535
283.24872,40.87582,11.991069
292.07428,41.07008,14.048185
282.22049,41.47493,13.188397
283.33759,41.58049,15.463346
284.61215,41.792351,12.625711
293.11554,41.731159,11.532752
289.62753,41.88419,13.607864
293.93188,42.277927,15.635834
298.35114,42.290096,12.567776
287.83728,42.646519,14.195767
283.76892,42.997478,12.851719
290.57825,43.180359,14.944092
290.3815,43.292988,12.471533
290.18472,43.39143,12.39465
295.01245,43.326462,12.611837
282.56656,43.754581,14.205747
287.88934,43.770351,13.3789
281.56564,44.003731,13.761457
287.19107,44.041885,13.871011
299.21228,44.018188,13.690974
301.5051,44.296791,14.886829
298.53378,44.371239,13.796045
291.12466,44.564499,16.073889
296.30948,44.574871,13.363421
283.74136,44.793072,12.954895
294.2168,45.016266,13.043879
285.02353,45.118362,15.032016
292.93695,45.106781,13.786899
292.94586,45.104118,14.138194
284.13925,45.230042,13.59548
291.46069,45.539322,13.869333
299.73941,45.588261,13.759543
287.74448,45.84354,12.887306
288.54385,45.996861,16.159573
295.71613,46.392986,14.955817
281.97385,46.91098,15.529148
280.72409,47.041698,18.608046
291.67676,47.402988,13.398067
287.21332,49.098595,15.539
294.80969,49.522614,14.458737
290.11087,49.84726,16.651115
283.41418,43.16346,15.137722
283.35007,47.026493,15.155198
298.46051,47.166702,16.208445
280.50772,47.787842,15.185223
293.14893,48.04982,14.620809
296.5564,48.224518,18.055449
294.61722,48.786774,15.558543
289.72391,49.875801,17.52122
295.01849,50.343826,14.740959
289.44315,50.927052,16.646887
295.19214,50.955746,15.342145
291.27246,37.576023,15.787879
292.4566,38.930786,15.308391
287.1218,39.296814,13.932889
293.03308,39.551498,15.447863
294.48792,39.886105,15.558617
289.60147,41.821262,16.357096
286.60181,41.928913,15.777901
288.9762,42.286789,15.198855
290.60077,42.448982,15.642874
292.81732,42.589535,16.333986
287.14938,42.724274,15.587377
287.68936,43.178905,15.817126
286.23697,43.297249,15.159017
286.25626,43.354546,15.713218
287.75317,43.583691,17.000233
299.16681,43.874287,15.126381
297.07312,44.005249,17.106123
293.65488,45.185963,16.201391
295.48236,45.377132,16.352877
290.2666,45.578167,14.035297
294.07083,45.913696,16.07158
297.46521,46.152798,16.426758
282.29169,46.208179,14.969688